transaction_id,timestamp,sender_account,receiver_account,amount,location,ip_address,device_hash,Velocity_Anomaly,Value_Anomaly,TimeGap_Anomaly,Location_Anomaly,Network_Anomaly,is_fraud
5817,2025-09-24 18:21:00,ACC44379722,ACC91183086,121716,Ha Noi,71.193.84.61,fa214f0229c1df31c98907da67ac58b4,0.4084212818046216,0.3054060829844461,0.2578527331957711,0.31983442827081515,0.4914602357731089,0
2883,2025-09-24 18:47:00,ACC47793751,ACC94164823,56850,Vinh Phuc,107.127.185.112,f118af8f237983eb7bcefe4d2a61fd02,0.22430650360728985,0.18047821490095098,0.20088752018308764,0.12613210530046215,0.26172014008805516,0
9707,2025-09-24 18:54:00,ACC93241935,ACC26680684,52274,Dong Nai,19.107.198.52,4784816a345a50039925f3c3239f51bd,0.9470167916275946,0.898131830646861,0.8729691783668339,0.6509756285833008,0.7602897036387604,1
634,2025-09-24 19:17:00,ACC80957100,ACC70628227,122606,Nghe An,173.77.120.126,3baf4dcb791c9d4dedae3008c471085b,0.1678310077539491,0.3638621119614212,0.06260921175039871,0.3064809118417782,0.17420501787771966,0
8814,2025-09-24 19:23:00,ACC78983997,ACC46688224,81386,Quang Nam,208.126.195.51,7571b82a37b1a051fe8a413e552c0544,0.19925252742832064,0.33153819683048846,0.24746607111666039,0.06753070963597427,0.03185548380962727,0
2459,2025-09-24 20:05:00,ACC62526698,ACC91425594,40853,Da Nang,212.148.118.123,8b77b51430c9b1e34f3d122347742141,0.17902274608286822,0.13879080546837688,0.34063329523333613,0.1391820432596005,0.32253792869365794,0
7561,2025-09-24 20:06:00,ACC84770025,ACC25759342,53782,Da Nang,118.66.58.173,0770ad6254515a14af4c92480cb094e5,0.38094911429303885,0.35745718660786086,0.41412157667010957,0.1547351436861314,0.2069379916078303,0
4407,2025-09-24 21:11:00,ACC43643054,ACC78915347,110048,Ha Noi,176.131.141.13,e00177720c29a4d66ef3803608bc28a5,0.04431488066991377,0.14861239259859385,0.2494158665777902,0.184943989745615,0.30124666844270753,0
2011,2025-09-24 21:25:00,ACC16982465,ACC24403080,99850,Khanh Hoa,72.170.132.23,8bc13ab2537ca5367ef1db856271293e,0.36019999976637324,0.565685278728152,0.42504310563588266,0.14967532423761526,0.45376922705920036,0
2149,2025-09-24 21:56:00,ACC49011005,ACC49532403,81730,Ho Chi Minh,197.171.27.220,a1f5e2ae39ac75453b45f226fc9941ac,0.3199227679438735,0.5406236550573066,0.1860533035276329,0.10899479641865296,0.03518712776250291,0
9863,2025-09-24 21:58:00,ACC70420638,ACC46715811,144057,Dong Nai,75.16.138.23,fc9bf1f31cc4de0a054e4f69616a2cc1,0.9587259262588712,0.8946400949677259,0.803787885052042,0.7816710603730541,0.674765787421634,1
